wordnet_builder_109878275	relatedto	wordnet_architect_109805475
wordnet_business_108061042	antonym	wordnet_art_102743547
wordnet_cast_113913566	relatedto	wordnet_group_100031264
wordnet_statue_104306847	usedfor	wordnet_memorial_106688522
wordnet_fall_115236859	distinctfrom	wordnet_spring_115237044
wordnet_contest_107456188	synonym	wordnet_pageant_100899761
wordnet_fall_115236859	relatedto	wordnet_disease_114070360
wordnet_book_106410904	relatedto	wordnet_record_106647206
wordnet_hardware_103493333	isa	wordnet_component_105868954
wordnet_lama_110243664	synonym	wordnet_lama_110243664
wordnet_mountain_109359803	antonym	wordnet_valley_109468604
wordnet_road_104096066	relatedto	wordnet_tunnel_104497962
wordnet_keyboard_103614007	relatedto	wordnet_computer_103082979
wordnet_saint_110546850	relatedto	wordnet_figure_106999647
wordnet_broadcast_106254007	isa	wordnet_show_100520257
wordnet_dancer_109989502	capableof	wordnet_dance_107020538
wordnet_accident_107301336	relatedto	wordnet_coat_of_arms_103058726
wordnet_building_102913152	atlocation	wordnet_town_108665504
wordnet_body_105216365	relatedto	wordnet_main_109345932
wordnet_factory_103316406	relatedto	wordnet_business_108061042
wordnet_plant_disease_114276936	relatedto	wordnet_plant_100017222
wordnet_king_110231515	isa	wordnet_sovereign_110628644
wordnet_mining_100922327	hascontext	wordnet_military_108199025
wordnet_bishop_109857200	relatedto	wordnet_vehicle_104524313
wordnet_plan_105898568	relatedto	wordnet_design_100928077
wordnet_biography_106515827	atlocation	wordnet_library_103660909
wordnet_song_107048000	isa	wordnet_musical_composition_107037465
wordnet_burg_108671168	isa	wordnet_town_108665504
wordnet_demographic_106022076	relatedto	wordnet_age_104924103
wordnet_function_113783816	isa	wordnet_relation_100031921
wordnet_pope_110453533	isa	wordnet_bishop_109857200
wordnet_battle_100953559	isa	wordnet_battle_100953559
wordnet_translation_106536389	hascontext	wordnet_medicine_106043075
wordnet_premier_109907196	relatedto	wordnet_governor_110140314
wordnet_protest_107210225	antonym	wordnet_agreement_106770275
wordnet_entry_106503724	relatedto	wordnet_datum_105816622
wordnet_scale_113850304	hascontext	wordnet_music_107020895
wordnet_code_106667317	relatedto	wordnet_computer_103082979
wordnet_music_107020895	relatedto	wordnet_dance_107020538
wordnet_vacation_115137890	relatedto	wordnet_event_100029378
wordnet_equilibrium_113934900	relatedto	wordnet_condition_113920835
wordnet_bridge_102898711	atlocation	wordnet_river_109411430
wordnet_mine_103768346	relatedto	wordnet_ship_104194289
wordnet_order_107168623	relatedto	wordnet_small_105559023
wordnet_design_100928077	relatedto	wordnet_structure_104341686
wordnet_organization_108008335	relatedto	wordnet_charity_108406619
wordnet_instrument_103574816	synonym	wordnet_play_107007945
wordnet_language_106282651	relatedto	wordnet_tool_104451818
wordnet_school_108276720	synonym	wordnet_institute_108407330
wordnet_speaker_110630188	atlocation	wordnet_conference_108308497
wordnet_musician_110339966	isa	wordnet_artist_109812338
wordnet_value_105856388	hascontext	wordnet_music_107020895
wordnet_land_109334396	relatedto	wordnet_region_108630039
wordnet_nerve_105474346	atlocation	wordnet_animal_100015388
wordnet_house_103544360	relatedto	wordnet_box_102883344
wordnet_platform_103961939	relatedto	wordnet_model_110324560
wordnet_commissioner_109943811	isa	wordnet_member_110307234
wordnet_beer_107886849	isa	wordnet_beverage_107881800
wordnet_conclave_108308410	relatedto	wordnet_pope_110453533
wordnet_artist_109812338	relatedto	wordnet_art_102743547
wordnet_nationality_107949463	synonym	wordnet_race_107472657
wordnet_minister_110320863	relatedto	wordnet_president_110468962
wordnet_driver_110034906	relatedto	wordnet_club_108227214
wordnet_plant_100017222	isa	wordnet_actor_109765278
wordnet_color_104956594	synonym	wordnet_color_104956594
wordnet_box_102883344	relatedto	wordnet_post_108624385
wordnet_ship_104194289	isa	wordnet_vehicle_104524313
wordnet_code_106667317	relatedto	wordnet_computer_103082979
wordnet_number_105121418	isa	wordnet_item_106482401
wordnet_feature_105849789	relatedto	wordnet_item_106482401
wordnet_tunnel_104497962	hascontext	wordnet_car_102958343
wordnet_development_100250259	relatedto	wordnet_organism_100004475
wordnet_song_107048000	relatedto	wordnet_art_102743547
wordnet_diagnosis_100152727	hascontext	wordnet_medicine_106043075
wordnet_tribe_108372411	antonym	wordnet_organization_108008335
wordnet_rock_109416076	usedfor	wordnet_hurling_100470830
wordnet_text_106387980	partof	wordnet_publication_106589574
wordnet_court_108329453	relatedto	wordnet_day_115155220
wordnet_port_108633957	relatedto	wordnet_opening_100457890
wordnet_cast_113913566	relatedto	wordnet_set_107996689
wordnet_information_106634376	relatedto	wordnet_judge_110225219
wordnet_skyscraper_104233124	isa	wordnet_building_102913152
wordnet_organization_108008335	isa	wordnet_structure_104341686
